#: table_doi: 10.17182/hepdata.83911.v1/t15
#: name: Table 15
#: description: The elliptic flow per constituent quark after correcting back-to-back jet contribution, $v_{2}^{sub}/n_{q}$, for $D^{0}$ meson as a function of transverse kinetic energy per constituent quark $KE_{T}/n_{q}$ in pPb collision at 8.16 TeV.
#: data_file: data15.yaml
#: data_license:   
#: keyword reactions: P PB --> $D^{0}$ X
#: keyword observables: CORR
#: keyword phrases: 
#: keyword cmenergies: 8160.0
#: RE,P PB --> $D^{0}$ X
#: Rapidity Range,-1.46 < $y_{cm}$ < 0.54
#: $|\Delta\eta|$,> 1
#: SQRT(S)/NUCLEON [GEV],8160.0
#: Multiplicity Class,$185 \leq N_{offline}^{trk} < 250$
$KE_{T}/n_{q}$ [GEV],$v_{2}^{sub}/n_{q}$,stat +,stat -,sys +,sys -
0.43,0.003,0.016,-0.016,0.001,-0.001
0.72,0.0263,0.0092,-0.0092,0.0042,-0.0042
0.95,0.0467,0.0066,-0.0066,0.0074,-0.0074
1.21,0.0464,0.0045,-0.0045,0.0074,-0.0074
1.55,0.0446,0.0039,-0.0039,0.0071,-0.0071
1.97,0.0328,0.0040,-0.0040,0.0052,-0.0052
2.45,0.0405,0.0046,-0.0046,0.0064,-0.0064
2.93,0.0235,0.0055,-0.0055,0.0037,-0.0037

