#: table_doi: 10.17182/hepdata.83911.v1/t22
#: name: Table 22
#: description: The elliptic flow per constituent quark after correcting back-to-back jet contribution, $v_{2}^{sub}/n_{q}$, for $\Xi^{-}$ as a function of transverse kinetic energy per constituent quark $KE_{T}/n_{q}$ in PbPb collision at 5.02 TeV.
#: data_file: data22.yaml
#: data_license:   
#: keyword reactions: PB PB --> $\Xi^{-}$ X
#: keyword observables: CORR
#: keyword phrases: 
#: keyword cmenergies: 5020.0-8160.0
#: RE,PB PB --> $\Xi^{-}$ X
#: $|\Delta\eta|$,> 1
#: Centrality Class,30-50%
#: SQRT(S)/NUCLEON [GEV],5020.0
#: Rapidity Range,-1 < $y_{cm}$ < 1
$KE_{T}/n_{q}$ [GEV],$v_{2}^{sub}/n_{q}$,stat +,stat -,sys +,sys -
0.17,0.0188,0.0014,-0.0014,0.0012,-0.0012
0.25,0.0249,0.0006,-0.0006,0.0016,-0.0016
0.36,0.0441,0.0005,-0.0005,0.0028,-0.0028
0.50,0.0590,0.0004,-0.0004,0.0037,-0.0037
0.70,0.0700,0.0005,-0.0005,0.0044,-0.0044
0.96,0.0771,0.0007,-0.0007,0.0049,-0.0049
1.31,0.0709,0.0012,-0.0012,0.0045,-0.0045
1.76,0.0551,0.0031,-0.0031,0.0035,-0.0035

