#: table_doi: 10.17182/hepdata.83911.v1/t14
#: name: Table 14
#: description: The elliptic flow per constituent quark after correcting back-to-back jet contribution, $v_{2}^{sub}/n_{q}$, for $\Omega^{-}$ as a function of transverse kinetic energy per constituent quark $KE_{T}/n_{q}$ in pPb collision at 8.16 TeV.
#: data_file: data14.yaml
#: data_license:   
#: keyword reactions: P PB --> $\Omega^{-}$ X
#: keyword observables: CORR
#: keyword phrases: 
#: keyword cmenergies: 8160.0
#: RE,P PB --> $\Omega^{-}$ X
#: Rapidity Range,-1.46 < $y_{cm}$ < 0.54
#: $|\Delta\eta|$,> 1
#: SQRT(S)/NUCLEON [GEV],8160.0
#: Multiplicity Class,$185 \leq N_{offline}^{trk} < 250$
$KE_{T}/n_{q}$ [GEV],$v_{2}^{sub}/n_{q}$,stat +,stat -,sys +,sys -
0.28,0.0139,0.0095,-0.0095,0.0009,-0.0009
0.45,0.0232,0.0088,-0.0088,0.0015,-0.0015
0.64,0.0438,0.0045,-0.0045,0.0029,-0.0029
0.95,0.0437,0.0068,-0.0068,0.0028,-0.0028
1.47,0.0754,0.0050,-0.0050,0.0049,-0.0049

