#: table_doi: 10.17182/hepdata.83911.v1/t9
#: name: Table 9
#: description: The elliptic flow after correcting back-to-back jet contribution, $v_{2}^{sub}$, for $\Omega^{-}$ as a function of $p_{T}$ in pPb collision at 8.16 TeV.
#: data_file: data9.yaml
#: data_license:   
#: keyword reactions: P PB --> $\Omega^{-}$ X
#: keyword observables: CORR
#: keyword phrases: 
#: keyword cmenergies: 8160.0
#: RE,P PB --> $\Omega^{-}$ X
#: Rapidity Range,-1.46 < $y_{cm}$ < 0.54
#: $|\Delta\eta|$,> 1
#: SQRT(S)/NUCLEON [GEV],8160.0
#: Multiplicity Class,$185 \leq N_{offline}^{trk} < 250$
$p_{T}$ [GEV],$v_{2}^{sub}$,stat +,stat -,sys +,sys -
1.88,0.042,0.028,-0.028,0.003,-0.003
2.50,0.070,0.026,-0.026,0.005,-0.005
3.18,0.131,0.014,-0.014,0.009,-0.009
4.18,0.131,0.021,-0.021,0.009,-0.009
5.85,0.226,0.015,-0.015,0.015,-0.015

