#: table_doi: 10.17182/hepdata.83911.v1/t5
#: name: Table 5
#: description: The elliptic flow, $v_{2}$, for $D^{0}$ mesons as a function of $p_{T}$ in pPb collision at 8.16 TeV.
#: data_file: data5.yaml
#: data_license:   
#: keyword reactions: P PB --> $D^{0}$ X
#: keyword observables: CORR
#: keyword phrases: 
#: keyword cmenergies: 8160.0
#: RE,P PB --> $D^{0}$ X
#: Rapidity Range,-1.46 < $y_{cm}$ < 0.54
#: $|\Delta\eta|$,> 1
#: SQRT(S)/NUCLEON [GEV],8160.0
#: Multiplicity Class,$185 \leq N_{offline}^{trk} < 250$
$p_{T}$ [GEV],$v_{2}$,stat +,stat -,sys +,sys -
1.98,0.043,0.017,-0.017,0.011,-0.011
2.7,0.064,0.011,-0.011,0.010,-0.010
3.25,0.097,0.009,-0.009,0.015,-0.015
3.84,0.103,0.006,-0.006,0.016,-0.016
4.58,0.107,0.006,-0.006,0.017,-0.017
5.48,0.107,0.006,-0.006,0.017,-0.017
6.48,0.120,0.007,-0.007,0.019,-0.019
7.47,0.085,0.008,-0.008,0.014,-0.014

