#: table_doi: 10.17182/hepdata.83911.v1/t18
#: name: Table 18
#: description: The elliptic flow after correcting back-to-back jet contribution, $v_{2}^{sub}$, for $\Xi^{-}$ as a function of $p_{T}$ in PbPb collision at 5.02 TeV.
#: data_file: data18.yaml
#: data_license:   
#: keyword reactions: PB PB --> $\Xi^{-}$ X
#: keyword observables: CORR
#: keyword phrases: 
#: keyword cmenergies: 5020.0-8160.0
#: RE,PB PB --> $\Xi^{-}$ X
#: $|\Delta\eta|$,> 1
#: Centrality Class,30-50%
#: SQRT(S)/NUCLEON [GEV],5020.0
#: Rapidity Range,-1 < $y_{cm}$ < 1
$p_{T}$ [GEV],$v_{2}^{sub}$,stat +,stat -,sys +,sys -
1.26,0.0564,0.0041,-0.0041,0.0036,-0.0036
1.61,0.0747,0.0017,-0.0017,0.0047,-0.0047
2.00,0.1320,0.0015,-0.0015,0.0083,-0.0083
2.49,0.177,0.001,-0.001,0.011,-0.011
3.15,0.210,0.001,-0.001,0.013,-0.013
4.00,0.231,0.002,-0.002,0.015,-0.015
5.10,0.213,0.004,-0.004,0.013,-0.013
6.47,0.165,0.009,-0.009,0.010,-0.010

