#: table_doi: 10.17182/hepdata.83911.v1/t23
#: name: Table 23
#: description: The elliptic flow per constituent quark after correcting back-to-back jet contribution, $v_{2}^{sub}/n_{q}$, for $\Omega^{-}$ as a function of transverse kinetic energy per constituent quark $KE_{T}/n_{q}$ in PbPb collision at 5.02 TeV.
#: data_file: data23.yaml
#: data_license:   
#: keyword reactions: PB PB --> $\Omega^{-}$ X
#: keyword observables: CORR
#: keyword phrases: 
#: keyword cmenergies: 5020.0-8160.0
#: RE,PB PB --> $\Omega^{-}$ X
#: $|\Delta\eta|$,> 1
#: Centrality Class,30-50%
#: SQRT(S)/NUCLEON [GEV],5020.0
#: Rapidity Range,-1 < $y_{cm}$ < 1
$KE_{T}/n_{q}$ [GEV],$v_{2}^{sub}/n_{q}$,stat +,stat -,sys +,sys -
0.23,0.0338,0.0014,-0.0014,0.0021,-0.0021
0.31,0.0436,0.0010,-0.0010,0.0028,-0.0028
0.44,0.0559,0.0008,-0.0008,0.0035,-0.0035
0.63,0.0670,0.0009,-0.0009,0.0042,-0.0042
0.89,0.0815,0.0012,-0.0012,0.0051,-0.0051
1.23,0.0738,0.0021,-0.0021,0.0047,-0.0047

